2,4,3,3,4,1,1,1,2,24,24,24,36,24,2,2,2,32,32,64,2,8,4,82.20623016357422
3,1,1,2,1,2,1,1,4,24,36,36,72,36,1,2,4,64,64,64,8,4,4,82.73979187011719
1,2,4,4,2,2,1,1,2,8,8,8,8,8,1,2,2,16,8,8,2,2,2,77.26765441894531
1,4,3,4,2,4,4,4,1,8,12,12,12,12,1,2,4,8,8,16,4,4,8,78.68222045898438
1,4,2,4,4,1,1,1,4,16,32,64,80,64,4,4,2,128,64,64,4,2,4,82.71498107910156
1,3,1,3,1,4,1,2,4,16,24,48,80,48,1,1,4,64,128,64,8,2,8,82.03250885009766
3,2,4,4,2,1,2,1,2,24,36,64,80,64,1,1,2,64,128,64,2,4,4,82.77702331542969
3,1,2,1,4,2,1,1,1,24,24,36,54,36,4,4,4,64,64,64,2,2,8,82.82665252685547
3,4,4,4,2,4,1,4,2,24,24,36,72,36,1,4,4,32,64,128,2,8,8,82.7894287109375
1,2,2,1,2,1,4,1,4,24,36,54,80,54,4,1,1,32,128,64,4,4,8,82.28067779541016
4,3,3,1,2,4,2,4,4,8,8,8,16,8,1,4,4,16,32,32,4,2,4,79.57563018798828
1,4,3,3,4,2,1,1,4,8,12,18,18,18,1,1,4,16,32,16,4,8,4,79.51358795166016
3,4,3,4,1,4,2,2,2,16,32,48,72,48,2,2,4,32,128,64,2,2,2,83.3850326538086
3,2,3,3,4,1,4,2,4,24,24,24,24,24,1,2,4,16,32,32,8,2,8,81.07705688476562
2,1,1,3,4,4,1,1,2,16,32,48,48,48,4,4,1,32,64,32,8,8,8,83.12445831298828
3,4,2,3,1,1,2,1,2,8,12,12,24,12,4,4,4,8,32,64,2,4,2,77.66472625732422
2,4,2,4,4,4,1,1,4,24,24,36,72,36,2,1,1,32,64,128,8,8,4,82.95073699951172
3,2,1,2,2,2,4,1,2,24,36,64,80,64,1,2,1,64,128,64,2,8,8,83.50911712646484
4,3,3,3,1,1,4,1,4,24,24,48,80,48,4,2,1,32,64,128,8,2,8,81.9084243774414
4,2,3,1,1,4,4,4,1,8,8,16,16,16,1,1,1,16,16,16,8,4,2,78.53331756591797
4,4,4,3,4,1,4,1,1,24,48,64,80,64,4,2,1,64,64,64,4,2,8,82.7894287109375
1,3,3,1,2,2,2,2,4,24,24,48,72,48,1,2,1,32,64,128,8,8,2,79.76175689697266
3,1,4,1,1,1,2,1,2,24,48,48,48,48,2,1,1,64,32,32,2,2,2,80.70480346679688
3,4,4,1,1,4,1,4,4,16,16,24,48,24,4,1,1,16,32,128,4,4,2,83.59597778320312
4,3,2,3,2,2,1,4,2,8,8,8,12,8,4,1,1,8,8,8,8,8,4,77.8508529663086
3,3,1,4,4,1,4,4,2,8,8,16,32,16,4,1,4,16,64,64,4,2,8,79.89825439453125
3,1,4,1,2,1,4,2,1,16,24,48,80,48,2,2,2,32,64,128,2,8,8,82.51644134521484
2,3,4,3,4,4,4,4,4,16,16,32,64,32,1,2,1,32,64,128,8,2,4,82.37995147705078
2,1,3,4,4,1,1,4,4,8,16,16,24,16,1,1,1,16,16,32,2,4,2,80.05956268310547
4,4,2,3,1,2,4,2,4,16,24,24,24,24,1,4,2,32,16,16,8,2,4,80.89093017578125
1,4,1,2,2,2,2,2,1,8,8,16,24,16,4,1,1,16,16,32,8,2,2,77.37932586669922
4,4,4,2,4,4,1,2,1,24,24,48,80,48,2,4,4,32,64,64,4,4,2,83.34780883789062
2,1,4,2,1,2,1,2,1,8,16,16,24,16,1,4,2,16,16,64,2,8,8,79.15373992919922
1,2,1,2,1,4,1,2,2,8,8,8,16,8,2,1,1,16,16,32,8,8,8,75.443603515625
2,4,1,4,4,4,1,2,2,8,12,18,27,18,1,1,4,16,32,64,4,2,8,80.1216049194336
1,2,2,2,4,2,2,1,2,16,16,32,64,32,4,4,2,32,64,64,8,4,8,80.59312438964844
2,2,4,2,1,4,2,4,1,16,24,36,54,36,2,2,1,32,64,128,8,8,2,81.6478500366211
1,4,4,3,1,1,1,2,2,16,16,32,32,32,2,1,4,64,32,32,2,8,4,79.93547821044922
