1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,8.0,12.0,12.0,24.0,48.0,4.0,2.0,1.0,16.0,32.0,64.0,4.0,4.0,2.0,1331
3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,16.0,24.0,48.0,72.0,72.0,1.0,1.0,1.0,48.0,64.0,96.0,2.0,2.0,4.0,1952
4.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,32.0,48.0,72.0,108.0,162.0,1.0,2.0,2.0,64.0,128.0,256.0,2.0,4.0,4.0,2742
2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,24.0,36.0,54.0,81.0,121.0,4.0,1.0,4.0,64.0,96.0,64.0,2.0,8.0,8.0,2041
1.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,1.0,24.0,36.0,54.0,81.0,162.0,2.0,2.0,2.0,48.0,64.0,192.0,8.0,4.0,8.0,1760
1.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,16.0,32.0,64.0,128.0,128.0,4.0,1.0,1.0,64.0,128.0,128.0,2.0,2.0,4.0,2296
3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,24.0,48.0,96.0,128.0,192.0,1.0,2.0,2.0,128.0,128.0,192.0,2.0,2.0,8.0,2001
1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,24.0,48.0,96.0,128.0,144.0,4.0,4.0,1.0,96.0,256.0,128.0,2.0,4.0,8.0,2271
1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,8.0,12.0,18.0,36.0,72.0,1.0,1.0,1.0,24.0,48.0,128.0,8.0,8.0,8.0,1276
4.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,24.0,36.0,54.0,81.0,162.0,1.0,4.0,2.0,64.0,96.0,192.0,8.0,2.0,8.0,1841
2.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,32.0,48.0,48.0,96.0,96.0,1.0,2.0,2.0,48.0,96.0,96.0,2.0,8.0,4.0,1866
1.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0,8.0,16.0,16.0,32.0,64.0,1.0,2.0,2.0,32.0,48.0,128.0,2.0,2.0,8.0,1661
2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,8.0,8.0,12.0,18.0,18.0,1.0,2.0,2.0,12.0,24.0,24.0,4.0,4.0,4.0,1052
2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,16.0,32.0,48.0,72.0,72.0,2.0,4.0,4.0,48.0,128.0,64.0,4.0,2.0,8.0,1397
3.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,16.0,32.0,32.0,64.0,64.0,2.0,2.0,1.0,48.0,128.0,96.0,8.0,8.0,2.0,1816
4.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,8.0,12.0,18.0,27.0,40.0,2.0,4.0,2.0,24.0,24.0,32.0,4.0,4.0,4.0,1479
3.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,16.0,16.0,16.0,24.0,24.0,2.0,4.0,4.0,24.0,32.0,16.0,4.0,4.0,2.0,1593
3.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,24.0,24.0,24.0,48.0,96.0,4.0,2.0,2.0,16.0,48.0,64.0,8.0,8.0,2.0,1856
3.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,24.0,24.0,24.0,36.0,36.0,4.0,1.0,1.0,32.0,48.0,48.0,8.0,8.0,4.0,1565
2.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,8.0,12.0,12.0,12.0,24.0,2.0,2.0,1.0,16.0,16.0,16.0,2.0,4.0,4.0,1307
2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,24.0,36.0,36.0,72.0,144.0,2.0,4.0,4.0,64.0,64.0,192.0,8.0,8.0,4.0,1774
4.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,32.0,48.0,96.0,128.0,256.0,1.0,2.0,1.0,64.0,192.0,512.0,2.0,4.0,2.0,2720
1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,32.0,48.0,48.0,72.0,72.0,1.0,4.0,1.0,48.0,96.0,96.0,2.0,2.0,4.0,1782
4.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,24.0,48.0,72.0,72.0,144.0,4.0,2.0,2.0,64.0,64.0,128.0,2.0,8.0,4.0,2783
3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,32.0,48.0,96.0,128.0,256.0,1.0,2.0,2.0,96.0,128.0,512.0,2.0,2.0,4.0,2393
3.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,24.0,24.0,36.0,72.0,108.0,4.0,2.0,2.0,48.0,128.0,96.0,8.0,4.0,4.0,1827
